number_people,date,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour,Date.only
30,2015-08-15 10:20:12-07:00,37212,5,1,0,70.36,0,0,8,10,2015-08-15
32,2015-08-15 10:30:12-07:00,37812,5,1,0,70.36,0,0,8,10,2015-08-15
36,2015-08-15 10:40:13-07:00,38413,5,1,0,70.36,0,0,8,10,2015-08-15
29,2015-08-15 10:50:14-07:00,39014,5,1,0,70.36,0,0,8,10,2015-08-15
34,2015-08-15 11:00:17-07:00,39617,5,1,0,72.84,0,0,8,11,2015-08-15
36,2015-08-15 11:20:11-07:00,40811,5,1,0,72.84,0,0,8,11,2015-08-15
32,2015-08-15 11:30:12-07:00,41412,5,1,0,72.84,0,0,8,11,2015-08-15
27,2015-08-15 11:40:13-07:00,42013,5,1,0,72.84,0,0,8,11,2015-08-15
26,2015-08-15 11:50:13-07:00,42613,5,1,0,72.84,0,0,8,11,2015-08-15
36,2015-08-15 12:00:16-07:00,43216,5,1,0,76.95,0,0,8,12,2015-08-15
37,2015-08-15 12:20:11-07:00,44411,5,1,0,76.95,0,0,8,12,2015-08-15
38,2015-08-15 12:30:12-07:00,45012,5,1,0,76.95,0,0,8,12,2015-08-15
30,2015-08-15 12:40:15-07:00,45615,5,1,0,76.95,0,0,8,12,2015-08-15
34,2015-08-15 12:50:17-07:00,46217,5,1,0,76.95,0,0,8,12,2015-08-15
26,2015-08-15 13:00:20-07:00,46820,5,1,0,80.16,0,0,8,13,2015-08-15
33,2015-08-15 13:20:11-07:00,48011,5,1,0,80.16,0,0,8,13,2015-08-15
31,2015-08-15 13:30:16-07:00,48616,5,1,0,80.16,0,0,8,13,2015-08-15
26,2015-08-15 13:40:17-07:00,49217,5,1,0,80.16,0,0,8,13,2015-08-15
26,2015-08-15 13:50:18-07:00,49818,5,1,0,80.16,0,0,8,13,2015-08-15
26,2015-08-15 14:00:19-07:00,50419,5,1,0,79.98,0,0,8,14,2015-08-15
23,2015-08-15 14:20:12-07:00,51612,5,1,0,79.98,0,0,8,14,2015-08-15
29,2015-08-15 14:30:13-07:00,52213,5,1,0,79.98,0,0,8,14,2015-08-15
27,2015-08-15 14:40:16-07:00,52816,5,1,0,79.98,0,0,8,14,2015-08-15
29,2015-08-15 14:50:18-07:00,53418,5,1,0,79.98,0,0,8,14,2015-08-15
25,2015-08-15 15:00:23-07:00,54023,5,1,0,78.79,0,0,8,15,2015-08-15
29,2015-08-15 15:20:11-07:00,55211,5,1,0,78.79,0,0,8,15,2015-08-15
35,2015-08-15 15:30:12-07:00,55812,5,1,0,78.79,0,0,8,15,2015-08-15
32,2015-08-15 15:40:13-07:00,56413,5,1,0,78.79,0,0,8,15,2015-08-15
36,2015-08-15 15:50:14-07:00,57014,5,1,0,78.79,0,0,8,15,2015-08-15
31,2015-08-15 16:00:15-07:00,57615,5,1,0,78.51,0,0,8,16,2015-08-15
24,2015-08-15 16:20:11-07:00,58811,5,1,0,78.51,0,0,8,16,2015-08-15
26,2015-08-15 16:30:12-07:00,59412,5,1,0,78.51,0,0,8,16,2015-08-15
28,2015-08-15 16:40:12-07:00,60012,5,1,0,78.51,0,0,8,16,2015-08-15
33,2015-08-15 16:50:13-07:00,60613,5,1,0,78.51,0,0,8,16,2015-08-15
26,2015-08-15 17:00:15-07:00,61215,5,1,0,77.32,0,0,8,17,2015-08-15
31,2015-08-15 17:20:10-07:00,62410,5,1,0,77.32,0,0,8,17,2015-08-15
39,2015-08-15 17:30:11-07:00,63011,5,1,0,77.32,0,0,8,17,2015-08-15
43,2015-08-15 17:40:12-07:00,63612,5,1,0,77.32,0,0,8,17,2015-08-15
40,2015-08-15 17:50:13-07:00,64213,5,1,0,77.32,0,0,8,17,2015-08-15
36,2015-08-15 18:00:14-07:00,64814,5,1,0,75.62,0,0,8,18,2015-08-15
43,2015-08-15 18:20:11-07:00,66011,5,1,0,75.62,0,0,8,18,2015-08-15
38,2015-08-15 18:30:12-07:00,66612,5,1,0,75.62,0,0,8,18,2015-08-15
32,2015-08-15 18:40:14-07:00,67214,5,1,0,75.62,0,0,8,18,2015-08-15
29,2015-08-15 18:50:15-07:00,67815,5,1,0,75.62,0,0,8,18,2015-08-15
31,2015-08-15 19:00:16-07:00,68416,5,1,0,73.61,0,0,8,19,2015-08-15
27,2015-08-15 19:20:10-07:00,69610,5,1,0,73.61,0,0,8,19,2015-08-15
23,2015-08-15 19:30:11-07:00,70211,5,1,0,73.61,0,0,8,19,2015-08-15
29,2015-08-15 19:40:12-07:00,70812,5,1,0,73.61,0,0,8,19,2015-08-15
28,2015-08-15 19:50:12-07:00,71412,5,1,0,73.61,0,0,8,19,2015-08-15
29,2015-08-15 20:00:13-07:00,72013,5,1,0,71.49,0,0,8,20,2015-08-15
29,2015-08-15 20:20:11-07:00,73211,5,1,0,71.49,0,0,8,20,2015-08-15
31,2015-08-15 20:30:12-07:00,73812,5,1,0,71.49,0,0,8,20,2015-08-15
28,2015-08-15 20:40:12-07:00,74412,5,1,0,71.49,0,0,8,20,2015-08-15
33,2015-08-15 20:50:13-07:00,75013,5,1,0,71.49,0,0,8,20,2015-08-15
1,2015-08-16 07:00:14-07:00,25214,6,1,0,66.91,0,0,8,7,2015-08-16
0,2015-08-16 07:20:10-07:00,26410,6,1,0,66.91,0,0,8,7,2015-08-16
0,2015-08-16 07:30:11-07:00,27011,6,1,0,66.91,0,0,8,7,2015-08-16
2,2015-08-16 07:40:12-07:00,27612,6,1,0,66.91,0,0,8,7,2015-08-16
2,2015-08-16 07:50:13-07:00,28213,6,1,0,66.91,0,0,8,7,2015-08-16
3,2015-08-16 08:00:13-07:00,28813,6,1,0,69.39,0,0,8,8,2015-08-16
12,2015-08-16 08:20:10-07:00,30010,6,1,0,69.39,0,0,8,8,2015-08-16
18,2015-08-16 08:30:11-07:00,30611,6,1,0,69.39,0,0,8,8,2015-08-16
11,2015-08-16 08:40:12-07:00,31212,6,1,0,69.39,0,0,8,8,2015-08-16
16,2015-08-16 08:50:13-07:00,31813,6,1,0,69.39,0,0,8,8,2015-08-16
15,2015-08-16 09:00:13-07:00,32413,6,1,0,72.14,0,0,8,9,2015-08-16
18,2015-08-16 09:20:11-07:00,33611,6,1,0,72.14,0,0,8,9,2015-08-16
17,2015-08-16 09:30:11-07:00,34211,6,1,0,72.14,0,0,8,9,2015-08-16
12,2015-08-16 09:40:12-07:00,34812,6,1,0,72.14,0,0,8,9,2015-08-16
22,2015-08-16 09:50:13-07:00,35413,6,1,0,72.14,0,0,8,9,2015-08-16
23,2015-08-16 10:00:14-07:00,36014,6,1,0,74.51,0,0,8,10,2015-08-16
27,2015-08-16 10:20:10-07:00,37210,6,1,0,74.51,0,0,8,10,2015-08-16
25,2015-08-16 10:30:11-07:00,37811,6,1,0,74.51,0,0,8,10,2015-08-16
20,2015-08-16 10:40:12-07:00,38412,6,1,0,74.51,0,0,8,10,2015-08-16
25,2015-08-16 10:50:13-07:00,39013,6,1,0,74.51,0,0,8,10,2015-08-16
19,2015-08-16 11:00:13-07:00,39613,6,1,0,77.42,0,0,8,11,2015-08-16
18,2015-08-16 11:20:10-07:00,40810,6,1,0,77.42,0,0,8,11,2015-08-16
25,2015-08-16 11:30:11-07:00,41411,6,1,0,77.42,0,0,8,11,2015-08-16
29,2015-08-16 11:40:12-07:00,42012,6,1,0,77.42,0,0,8,11,2015-08-16
24,2015-08-16 11:50:13-07:00,42613,6,1,0,77.42,0,0,8,11,2015-08-16
29,2015-08-16 12:00:13-07:00,43213,6,1,0,78.94,0,0,8,12,2015-08-16
22,2015-08-16 12:20:10-07:00,44410,6,1,0,78.94,0,0,8,12,2015-08-16
20,2015-08-16 12:30:11-07:00,45011,6,1,0,78.94,0,0,8,12,2015-08-16
34,2015-08-16 12:40:12-07:00,45612,6,1,0,78.94,0,0,8,12,2015-08-16
19,2015-08-16 12:50:12-07:00,46212,6,1,0,78.94,0,0,8,12,2015-08-16
16,2015-08-16 13:00:13-07:00,46813,6,1,0,79.2,0,0,8,13,2015-08-16
27,2015-08-16 13:20:10-07:00,48010,6,1,0,79.2,0,0,8,13,2015-08-16
28,2015-08-16 13:30:11-07:00,48611,6,1,0,79.2,0,0,8,13,2015-08-16
24,2015-08-16 13:40:12-07:00,49212,6,1,0,79.2,0,0,8,13,2015-08-16
26,2015-08-16 13:50:12-07:00,49812,6,1,0,79.2,0,0,8,13,2015-08-16
16,2015-08-16 14:00:13-07:00,50413,6,1,0,81.17,0,0,8,14,2015-08-16
20,2015-08-16 14:20:10-07:00,51610,6,1,0,81.17,0,0,8,14,2015-08-16
21,2015-08-16 14:30:11-07:00,52211,6,1,0,81.17,0,0,8,14,2015-08-16
20,2015-08-16 14:40:12-07:00,52812,6,1,0,81.17,0,0,8,14,2015-08-16
22,2015-08-16 14:50:13-07:00,53413,6,1,0,81.17,0,0,8,14,2015-08-16
19,2015-08-16 15:00:13-07:00,54013,6,1,0,80.61,0,0,8,15,2015-08-16
27,2015-08-16 15:20:10-07:00,55210,6,1,0,80.61,0,0,8,15,2015-08-16
31,2015-08-16 15:30:11-07:00,55811,6,1,0,80.61,0,0,8,15,2015-08-16
32,2015-08-16 15:40:12-07:00,56412,6,1,0,80.61,0,0,8,15,2015-08-16
27,2015-08-16 15:50:12-07:00,57012,6,1,0,80.61,0,0,8,15,2015-08-16
27,2015-08-16 16:00:13-07:00,57613,6,1,0,79.85,0,0,8,16,2015-08-16
24,2015-08-16 16:20:10-07:00,58810,6,1,0,79.85,0,0,8,16,2015-08-16
29,2015-08-16 16:30:11-07:00,59411,6,1,0,79.85,0,0,8,16,2015-08-16
25,2015-08-16 16:40:12-07:00,60012,6,1,0,79.85,0,0,8,16,2015-08-16
30,2015-08-16 16:50:13-07:00,60613,6,1,0,79.85,0,0,8,16,2015-08-16
31,2015-08-16 17:00:13-07:00,61213,6,1,0,78.79,0,0,8,17,2015-08-16
40,2015-08-16 17:20:10-07:00,62410,6,1,0,78.79,0,0,8,17,2015-08-16
30,2015-08-16 17:30:10-07:00,63010,6,1,0,78.79,0,0,8,17,2015-08-16
35,2015-08-16 17:40:11-07:00,63611,6,1,0,78.79,0,0,8,17,2015-08-16
34,2015-08-16 17:50:13-07:00,64213,6,1,0,78.79,0,0,8,17,2015-08-16
31,2015-08-16 18:00:13-07:00,64813,6,1,0,76.75,0,0,8,18,2015-08-16
34,2015-08-16 18:20:09-07:00,66009,6,1,0,76.75,0,0,8,18,2015-08-16
36,2015-08-16 18:30:09-07:00,66609,6,1,0,76.75,0,0,8,18,2015-08-16
27,2015-08-16 18:40:10-07:00,67210,6,1,0,76.75,0,0,8,18,2015-08-16
33,2015-08-16 18:50:11-07:00,67811,6,1,0,76.75,0,0,8,18,2015-08-16
38,2015-08-16 19:00:12-07:00,68412,6,1,0,74.36,0,0,8,19,2015-08-16
41,2015-08-16 19:20:08-07:00,69608,6,1,0,74.36,0,0,8,19,2015-08-16
39,2015-08-16 19:30:09-07:00,70209,6,1,0,74.36,0,0,8,19,2015-08-16
39,2015-08-16 19:40:10-07:00,70810,6,1,0,74.36,0,0,8,19,2015-08-16
41,2015-08-16 19:50:10-07:00,71410,6,1,0,74.36,0,0,8,19,2015-08-16
28,2015-08-16 20:00:11-07:00,72011,6,1,0,71.6,0,0,8,20,2015-08-16
38,2015-08-16 20:20:08-07:00,73208,6,1,0,71.6,0,0,8,20,2015-08-16
38,2015-08-16 20:30:09-07:00,73809,6,1,0,71.6,0,0,8,20,2015-08-16
39,2015-08-16 20:40:10-07:00,74410,6,1,0,71.6,0,0,8,20,2015-08-16
25,2015-08-16 20:50:11-07:00,75011,6,1,0,71.6,0,0,8,20,2015-08-16
23,2015-08-17 07:00:12-07:00,25212,0,0,0,64.69,0,0,8,7,2015-08-17
26,2015-08-17 07:20:08-07:00,26408,0,0,0,64.69,0,0,8,7,2015-08-17
23,2015-08-17 07:30:09-07:00,27009,0,0,0,64.69,0,0,8,7,2015-08-17
17,2015-08-17 07:40:10-07:00,27610,0,0,0,64.69,0,0,8,7,2015-08-17
27,2015-08-17 07:50:11-07:00,28211,0,0,0,64.69,0,0,8,7,2015-08-17
23,2015-08-17 08:00:11-07:00,28811,0,0,0,65.53,0,0,8,8,2015-08-17
38,2015-08-17 08:20:08-07:00,30008,0,0,0,65.53,0,0,8,8,2015-08-17
24,2015-08-17 08:30:09-07:00,30609,0,0,0,65.53,0,0,8,8,2015-08-17
23,2015-08-17 08:40:10-07:00,31210,0,0,0,65.53,0,0,8,8,2015-08-17
32,2015-08-17 08:50:11-07:00,31811,0,0,0,65.53,0,0,8,8,2015-08-17
31,2015-08-17 09:00:12-07:00,32412,0,0,0,66.71,0,0,8,9,2015-08-17
31,2015-08-17 09:20:09-07:00,33609,0,0,0,66.71,0,0,8,9,2015-08-17
32,2015-08-17 09:30:10-07:00,34210,0,0,0,66.71,0,0,8,9,2015-08-17
34,2015-08-17 09:40:10-07:00,34810,0,0,0,66.71,0,0,8,9,2015-08-17
39,2015-08-17 09:50:11-07:00,35411,0,0,0,66.71,0,0,8,9,2015-08-17
39,2015-08-17 10:00:12-07:00,36012,0,0,0,67.83,0,0,8,10,2015-08-17
33,2015-08-17 10:20:09-07:00,37209,0,0,0,67.83,0,0,8,10,2015-08-17
33,2015-08-17 10:30:10-07:00,37810,0,0,0,67.83,0,0,8,10,2015-08-17
37,2015-08-17 10:40:11-07:00,38411,0,0,0,67.83,0,0,8,10,2015-08-17
29,2015-08-17 10:50:12-07:00,39012,0,0,0,67.83,0,0,8,10,2015-08-17
32,2015-08-17 11:00:12-07:00,39612,0,0,0,67.81,0,0,8,11,2015-08-17
35,2015-08-17 11:20:10-07:00,40810,0,0,0,67.81,0,0,8,11,2015-08-17
26,2015-08-17 11:30:10-07:00,41410,0,0,0,67.81,0,0,8,11,2015-08-17
34,2015-08-17 11:40:11-07:00,42011,0,0,0,67.81,0,0,8,11,2015-08-17
29,2015-08-17 11:50:12-07:00,42612,0,0,0,67.81,0,0,8,11,2015-08-17
28,2015-08-17 12:00:13-07:00,43213,0,0,0,68.76,0,0,8,12,2015-08-17
32,2015-08-17 12:20:09-07:00,44409,0,0,0,68.76,0,0,8,12,2015-08-17
27,2015-08-17 12:30:10-07:00,45010,0,0,0,68.76,0,0,8,12,2015-08-17
26,2015-08-17 12:40:11-07:00,45611,0,0,0,68.76,0,0,8,12,2015-08-17
27,2015-08-17 12:50:12-07:00,46212,0,0,0,68.76,0,0,8,12,2015-08-17
31,2015-08-17 13:00:13-07:00,46813,0,0,0,70.75,0,0,8,13,2015-08-17
33,2015-08-17 13:20:09-07:00,48009,0,0,0,70.75,0,0,8,13,2015-08-17
31,2015-08-17 13:30:10-07:00,48610,0,0,0,70.75,0,0,8,13,2015-08-17
30,2015-08-17 13:40:11-07:00,49211,0,0,0,70.75,0,0,8,13,2015-08-17
28,2015-08-17 13:50:12-07:00,49812,0,0,0,70.75,0,0,8,13,2015-08-17
27,2015-08-17 14:00:13-07:00,50413,0,0,0,70.18,0,0,8,14,2015-08-17
30,2015-08-17 14:20:09-07:00,51609,0,0,0,70.18,0,0,8,14,2015-08-17
18,2015-08-17 14:30:10-07:00,52210,0,0,0,70.18,0,0,8,14,2015-08-17
27,2015-08-17 14:40:10-07:00,52810,0,0,0,70.18,0,0,8,14,2015-08-17
37,2015-08-17 14:50:11-07:00,53411,0,0,0,70.18,0,0,8,14,2015-08-17
33,2015-08-17 15:00:12-07:00,54012,0,0,0,69.65,0,0,8,15,2015-08-17
33,2015-08-17 15:20:08-07:00,55208,0,0,0,69.65,0,0,8,15,2015-08-17
44,2015-08-17 15:30:09-07:00,55809,0,0,0,69.65,0,0,8,15,2015-08-17
43,2015-08-17 15:40:10-07:00,56410,0,0,0,69.65,0,0,8,15,2015-08-17
48,2015-08-17 15:50:11-07:00,57011,0,0,0,69.65,0,0,8,15,2015-08-17
45,2015-08-17 16:00:12-07:00,57612,0,0,0,67.99,0,0,8,16,2015-08-17
50,2015-08-17 16:20:08-07:00,58808,0,0,0,67.99,0,0,8,16,2015-08-17
42,2015-08-17 16:30:09-07:00,59409,0,0,0,67.99,0,0,8,16,2015-08-17
45,2015-08-17 16:40:09-07:00,60009,0,0,0,67.99,0,0,8,16,2015-08-17
47,2015-08-17 16:50:10-07:00,60610,0,0,0,67.99,0,0,8,16,2015-08-17
47,2015-08-17 17:00:10-07:00,61210,0,0,0,67.04,0,0,8,17,2015-08-17
55,2015-08-17 17:20:09-07:00,62409,0,0,0,67.04,0,0,8,17,2015-08-17
68,2015-08-17 17:30:10-07:00,63010,0,0,0,67.04,0,0,8,17,2015-08-17
50,2015-08-17 17:40:10-07:00,63610,0,0,0,67.04,0,0,8,17,2015-08-17
58,2015-08-17 17:50:11-07:00,64211,0,0,0,67.04,0,0,8,17,2015-08-17
65,2015-08-17 18:00:12-07:00,64812,0,0,0,64.26,0,0,8,18,2015-08-17
63,2015-08-17 18:20:09-07:00,66009,0,0,0,64.26,0,0,8,18,2015-08-17
63,2015-08-17 18:30:09-07:00,66609,0,0,0,64.26,0,0,8,18,2015-08-17
74,2015-08-17 18:40:10-07:00,67210,0,0,0,64.26,0,0,8,18,2015-08-17
69,2015-08-17 18:50:11-07:00,67811,0,0,0,64.26,0,0,8,18,2015-08-17
69,2015-08-17 19:00:11-07:00,68411,0,0,0,63.04,0,0,8,19,2015-08-17
60,2015-08-17 19:20:09-07:00,69609,0,0,0,63.04,0,0,8,19,2015-08-17
68,2015-08-17 19:30:10-07:00,70210,0,0,0,63.04,0,0,8,19,2015-08-17
73,2015-08-17 19:40:11-07:00,70811,0,0,0,63.04,0,0,8,19,2015-08-17
50,2015-08-17 19:50:12-07:00,71412,0,0,0,63.04,0,0,8,19,2015-08-17
53,2015-08-17 20:00:12-07:00,72012,0,0,0,62,0,0,8,20,2015-08-17
50,2015-08-17 20:20:09-07:00,73209,0,0,0,62,0,0,8,20,2015-08-17
45,2015-08-17 20:30:09-07:00,73809,0,0,0,62,0,0,8,20,2015-08-17
52,2015-08-17 20:40:10-07:00,74410,0,0,0,62,0,0,8,20,2015-08-17
66,2015-08-17 20:50:10-07:00,75010,0,0,0,62,0,0,8,20,2015-08-17
17,2015-08-18 07:00:11-07:00,25211,1,0,0,61.73,0,0,8,7,2015-08-18
14,2015-08-18 07:20:09-07:00,26409,1,0,0,61.73,0,0,8,7,2015-08-18
20,2015-08-18 07:30:09-07:00,27009,1,0,0,61.73,0,0,8,7,2015-08-18
19,2015-08-18 07:40:10-07:00,27610,1,0,0,61.73,0,0,8,7,2015-08-18
22,2015-08-18 07:50:11-07:00,28211,1,0,0,61.73,0,0,8,7,2015-08-18
27,2015-08-18 08:00:11-07:00,28811,1,0,0,62.01,0,0,8,8,2015-08-18
32,2015-08-18 08:20:09-07:00,30009,1,0,0,62.01,0,0,8,8,2015-08-18
36,2015-08-18 08:30:10-07:00,30610,1,0,0,62.01,0,0,8,8,2015-08-18
35,2015-08-18 08:40:11-07:00,31211,1,0,0,62.01,0,0,8,8,2015-08-18
39,2015-08-18 08:50:11-07:00,31811,1,0,0,62.01,0,0,8,8,2015-08-18
35,2015-08-18 09:00:12-07:00,32412,1,0,0,63.47,0,0,8,9,2015-08-18
34,2015-08-18 09:20:09-07:00,33609,1,0,0,63.47,0,0,8,9,2015-08-18
34,2015-08-18 09:30:10-07:00,34210,1,0,0,63.47,0,0,8,9,2015-08-18
28,2015-08-18 09:40:10-07:00,34810,1,0,0,63.47,0,0,8,9,2015-08-18
19,2015-08-18 09:50:11-07:00,35411,1,0,0,63.47,0,0,8,9,2015-08-18
32,2015-08-18 10:00:12-07:00,36012,1,0,0,64.96,0,0,8,10,2015-08-18
48,2015-08-18 10:20:08-07:00,37208,1,0,0,64.96,0,0,8,10,2015-08-18
47,2015-08-18 10:30:09-07:00,37809,1,0,0,64.96,0,0,8,10,2015-08-18
37,2015-08-18 10:40:10-07:00,38410,1,0,0,64.96,0,0,8,10,2015-08-18
32,2015-08-18 10:50:10-07:00,39010,1,0,0,64.96,0,0,8,10,2015-08-18
30,2015-08-18 11:00:11-07:00,39611,1,0,0,66.18,0,0,8,11,2015-08-18
35,2015-08-18 11:20:09-07:00,40809,1,0,0,66.18,0,0,8,11,2015-08-18
26,2015-08-18 11:30:10-07:00,41410,1,0,0,66.18,0,0,8,11,2015-08-18
26,2015-08-18 11:40:10-07:00,42010,1,0,0,66.18,0,0,8,11,2015-08-18
22,2015-08-18 11:50:11-07:00,42611,1,0,0,66.18,0,0,8,11,2015-08-18
29,2015-08-18 12:00:11-07:00,43211,1,0,0,66.18,0,0,8,12,2015-08-18
31,2015-08-18 12:20:10-07:00,44410,1,0,0,66.18,0,0,8,12,2015-08-18
28,2015-08-18 12:30:10-07:00,45010,1,0,0,66.18,0,0,8,12,2015-08-18
24,2015-08-18 12:40:11-07:00,45611,1,0,0,66.18,0,0,8,12,2015-08-18
30,2015-08-18 12:50:12-07:00,46212,1,0,0,66.18,0,0,8,12,2015-08-18
34,2015-08-18 13:00:12-07:00,46812,1,0,0,67.41,0,0,8,13,2015-08-18
36,2015-08-18 13:20:09-07:00,48009,1,0,0,67.41,0,0,8,13,2015-08-18
29,2015-08-18 13:30:10-07:00,48610,1,0,0,67.41,0,0,8,13,2015-08-18
31,2015-08-18 13:40:11-07:00,49211,1,0,0,67.41,0,0,8,13,2015-08-18
24,2015-08-18 13:50:12-07:00,49812,1,0,0,67.41,0,0,8,13,2015-08-18
27,2015-08-18 14:00:12-07:00,50412,1,0,0,67.69,0,0,8,14,2015-08-18
36,2015-08-18 14:20:09-07:00,51609,1,0,0,67.69,0,0,8,14,2015-08-18
36,2015-08-18 14:30:10-07:00,52210,1,0,0,67.69,0,0,8,14,2015-08-18
44,2015-08-18 14:40:10-07:00,52810,1,0,0,67.69,0,0,8,14,2015-08-18
32,2015-08-18 14:50:11-07:00,53411,1,0,0,67.69,0,0,8,14,2015-08-18
28,2015-08-18 15:00:11-07:00,54011,1,0,0,67.21,0,0,8,15,2015-08-18
36,2015-08-18 15:20:10-07:00,55210,1,0,0,67.21,0,0,8,15,2015-08-18
43,2015-08-18 15:30:10-07:00,55810,1,0,0,67.21,0,0,8,15,2015-08-18
32,2015-08-18 15:40:11-07:00,56411,1,0,0,67.21,0,0,8,15,2015-08-18
37,2015-08-18 15:50:11-07:00,57011,1,0,0,67.21,0,0,8,15,2015-08-18
34,2015-08-18 16:00:12-07:00,57612,1,0,0,66.68,0,0,8,16,2015-08-18
33,2015-08-18 16:20:10-07:00,58810,1,0,0,66.68,0,0,8,16,2015-08-18
41,2015-08-18 16:30:11-07:00,59411,1,0,0,66.68,0,0,8,16,2015-08-18
41,2015-08-18 16:35:08-07:00,59708,1,0,0,66.68,0,0,8,16,2015-08-18
35,2015-08-18 16:40:11-07:00,60011,1,0,0,66.68,0,0,8,16,2015-08-18
43,2015-08-18 16:50:12-07:00,60612,1,0,0,66.68,0,0,8,16,2015-08-18
45,2015-08-18 17:00:13-07:00,61213,1,0,0,65.96,0,0,8,17,2015-08-18
53,2015-08-18 17:20:09-07:00,62409,1,0,0,65.96,0,0,8,17,2015-08-18
61,2015-08-18 17:30:10-07:00,63010,1,0,0,65.96,0,0,8,17,2015-08-18
63,2015-08-18 17:40:10-07:00,63610,1,0,0,65.96,0,0,8,17,2015-08-18
51,2015-08-18 17:50:11-07:00,64211,1,0,0,65.96,0,0,8,17,2015-08-18
62,2015-08-18 18:00:12-07:00,64812,1,0,0,65.22,0,0,8,18,2015-08-18
62,2015-08-18 18:20:09-07:00,66009,1,0,0,65.22,0,0,8,18,2015-08-18
56,2015-08-18 18:30:10-07:00,66610,1,0,0,65.22,0,0,8,18,2015-08-18
71,2015-08-18 18:40:10-07:00,67210,1,0,0,65.22,0,0,8,18,2015-08-18
72,2015-08-18 18:50:11-07:00,67811,1,0,0,65.22,0,0,8,18,2015-08-18
54,2015-08-18 19:00:12-07:00,68412,1,0,0,64,0,0,8,19,2015-08-18
63,2015-08-18 19:20:09-07:00,69609,1,0,0,64,0,0,8,19,2015-08-18
67,2015-08-18 19:30:09-07:00,70209,1,0,0,64,0,0,8,19,2015-08-18
65,2015-08-18 19:40:10-07:00,70810,1,0,0,64,0,0,8,19,2015-08-18
